FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
3558;Figueirópolis;1707652;-49.282732;-12.263907;TOCANTINS;TO
3559;Parecis;1101450;-61.415259;-12.261985;RONDONIA;RO
3560;Iraquara;2914406;-41.579890;-12.242940;BAHIA;BA
3561;Ruy Barbosa;2927200;-40.661173;-12.241425;BAHIA;BA
3562;Wagner;2933406;-41.164712;-12.235036;BAHIA;BA
3563;Coração de Maria;2908903;-38.782270;-12.218991;BAHIA;BA
3564;Bom Jesus do Araguaia;5101852;-51.740451;-12.217192;MATO GROSSO;MT
3565;Luís Eduardo Magalhães;2919553;-46.015091;-12.201359;BAHIA;BA
3566;Ipirá;2914000;-39.782055;-12.199770;BAHIA;BA
3567;Cristópolis;2909703;-44.261359;-12.194089;BAHIA;BA
3568;Feira de Santana;2910800;-39.035855;-12.189517;BAHIA;BA
3569;Anguera;2901502;-39.194834;-12.180538;BAHIA;BA
3570;Araças;2902054;-38.214061;-12.177535;BAHIA;BA
3571;Conceição do Tocantins;1705607;-47.303845;-12.171551;TOCANTINS;TO
3572;Querência;5107065;-52.742751;-12.159619;MATO GROSSO;MT
3573;Muquém de São Francisco;2922250;-43.513441;-12.159292;BAHIA;BA
3574;Costa Marques;1100080;-64.058970;-12.147882;RONDONIA;RO
3575;Itanhangá;5104542;-56.751419;-12.142087;MATO GROSSO;MT
3576;Taipas do Tocantins;1720937;-46.993617;-12.139915;TOCANTINS;TO
3577;Macajuba;2919603;-40.265276;-12.129444;BAHIA;BA
3578;Pedrão;2924108;-38.640619;-12.125086;BAHIA;BA
3579;Sucupira;1720853;-48.834157;-12.113708;TOCANTINS;TO
3580;Alagoinhas;2900702;-38.399441;-12.109646;BAHIA;BA
3581;Serra Preta;2930402;-39.374347;-12.097434;BAHIA;BA
3582;Vilhena;1100304;-60.252358;-12.088154;RONDONIA;RO
3583;Brotas de Macaúbas;2904506;-42.456965;-12.087331;BAHIA;BA
3584;Entre Rios;2910503;-38.042945;-12.073204;BAHIA;BA
3585;Aramari;2902203;-38.524576;-12.055228;BAHIA;BA
3586;Ponte Alta do Bom Jesus;1717800;-46.579421;-12.052438;TOCANTINS;TO
3587;Irará;2914505;-38.754624;-12.045219;BAHIA;BA
3588;Utinga;2932804;-41.064484;-12.038718;BAHIA;BA
3589;Cardeal da Silva;2907004;-37.938000;-12.038291;BAHIA;BA
3590;Ibotirama;2913200;-43.202035;-12.036775;BAHIA;BA
3591;Santa Luzia D'oeste;1100296;-61.700831;-12.026281;RONDONIA;RO
3592;Serra Nova Dourada;5107883;-51.362491;-12.022227;MATO GROSSO;MT
3593;Souto Soares;2930808;-41.797824;-12.019914;BAHIA;BA
3594;Barreiras;2903201;-45.522683;-12.018207;BAHIA;BA
3595;Ipiranga do Norte;5104526;-56.055944;-12.014058;MATO GROSSO;MT
3596;Ouriçangas;2923308;-38.658314;-12.004235;BAHIA;BA
3597;Peixe;1716604;-48.555218;-11.997184;TOCANTINS;TO
3598;Angical;2901403;-44.634884;-11.997028;BAHIA;BA
