"group.all" "pa" "lon" "lat" "bio1" "bio2"
"261" 3 0 -72.9166666666667 -11.75 255 120
"262" 1 0 -62.4166666666667 -14.4166666666667 248 128
"263" 1 0 -56.5833333333333 -12.5833333333333 254 136
"264" 1 0 -46.0833333333333 -6.58333333333333 256 121
"265" 2 0 -53.25 -15.5833333333333 229 149
"266" 3 0 -53.25 -6.41666666666666 248 121
"267" 1 0 -73.25 -3.75 264 98
"268" 2 0 -52.25 -22.0833333333333 227 124
"269" 1 0 -40.4166666666667 -15.9166666666667 237 104
"270" 3 0 -49.9166666666667 -26.25 166 120
"271" 1 0 -62.9166666666667 -10.75 246 122
"272" 3 0 -51.0833333333333 -21.75 221 125
"273" 3 0 -54.5833333333333 -19.4166666666667 232 119
"274" 2 0 -55.5833333333333 -9.25 250 139
"275" 3 0 -65.9166666666667 -11.9166666666667 264 116
"276" 2 0 -71.9166666666667 -10.5833333333333 252 116
"277" 1 0 -42.5833333333333 -16.75 219 130
"278" 2 0 -57.75 -16.0833333333333 263 126
"279" 3 0 -58.4166666666667 -27.25 219 108
"280" 2 0 -74.25 -8.91666666666666 264 111
"281" 1 0 -72.0833333333333 -8.08333333333333 256 102
"282" 3 0 -59.4166666666667 -20.9166666666667 252 127
"283" 3 0 -45.5833333333333 -5.75 263 116
"284" 2 0 -73.75 -13.75 134 166
"285" 2 0 -39.4166666666667 -15.0833333333333 232 72
"286" 3 0 -45.75 -1.58333333333333 267 80
"287" 3 0 -62.4166666666667 -5.41666666666666 263 91
"288" 3 0 -43.25 -3.91666666666666 271 105
"289" 2 0 -45.75 -2.41666666666666 269 88
"290" 2 0 -41.0833333333333 -8.91666666666666 252 134
"291" 2 0 -75.0833333333333 -6.08333333333333 269 110
"292" 3 0 -44.25 -9.25 261 125
"293" 1 0 -49.25 -28.75 195 99
"294" 1 0 -63.25 -17.0833333333333 245 107
"295" 2 0 -67.75 -8.08333333333333 254 113
"296" 1 0 -43.5833333333333 -17.5833333333333 218 122
"297" 2 0 -54.75 -4.25 254 101
"298" 2 0 -40.4166666666667 -5.58333333333333 254 99
"299" 1 0 -52.0833333333333 -10.0833333333333 260 134
"300" 3 0 -46.5833333333333 -10.75 249 131
